address,census_tract,clearance_date,clearance_status,council_district_code,description,district,latitude,location,location_description,longitude,primary_type,timestamp,unique_key,x_coordinate,y_coordinate,year,zipcode
11621 LANSDOWNE RD Austin TX 78754,18.559999999999999,2016-01-07 00:00:00,Not cleared,1.0,BURGLARY OF VEHICLE,C,,,11621 LANSDOWNE RD,,Theft,2015-12-01 00:00:00,20158004296.0,3154659.0,10103138.0,2015.0,78754.0
11521 KEMPWOOD DR,,,,,,,,,,,,,,,,,
Austin TX 78750,,,,,,,,,,,,,,,,,
(30.434138 -97.782883),17.82,2014-10-23 00:00:00,Not cleared,6.0,THEFT OF LICENSE PLATE,A,30.434138,(30.434138-97.782883),11521 KEMPWOOD DR,-97.782883,Theft: All Other Larceny,2014-10-19 00:00:00,20145046393.0,3100383.0,10130884.0,2014.0,78750.0
2150 WOODWARD ST,,,,,,,,,,,,,,,,,
Austin TX 78744,,,,,,,,,,,,,,,,,
(30.212695 -97.745743),24.11,2014-04-18 00:00:00,Not cleared,2.0,THEFT OF VEHICLE/OTHER,F,30.212695,(30.212695-97.745743),2150 WOODWARD ST,-97.745743,Theft: All Other Larceny,2014-03-28 00:00:00,2014871266.0,3114393.0,10050515.0,2014.0,78744.0
5319 WELLINGTON DR,,,,,,,,,,,,,,,,,
Austin TX 78723,,,,,,,,,,,,,,,,,
(30.30279 -97.685489),21.06,2014-06-10 00:00:00,Not cleared,1.0,BURGLARY OF RESIDENCE,I,30.30279,(30.30279-97.685489),5319 WELLINGTON DR,-97.685489,Burglary / ,,,,,,
Breaking & Entering,2014-06-06 00:00:00,20141572116,3132166,10083818.0,2014,78723,,,,,,,,,,,
800 E WILLIAM CANNON DR,,,,,,,,,,,,,,,,,
Austin TX 78745,,,,,,,,,,,,,,,,,
(30.191043 -97.771802),24.02,2014-12-24 00:00:00,Not cleared,2.0,BURGLARY OF VEHICLE,F,30.191043,(30.191043-97.771802),800 E WILLIAM CANNON DR,-97.771802,Theft: BOV,2014-12-20 00:00:00,20145055851.0,3105816.0,10042612.0,2014.0,78745.0
2400 S CONGRESS AVE,,,,,,,,,,,,,,,,,
Austin TX 78704,,,,,,,,,,,,,,,,,
(30.238285 -97.754014),13.08,2014-08-05 00:00:00,Cleared by Arrest,3.0,THEFT,D,30.238285,(30.238285-97.754014),2400 S CONGRESS AVE,-97.754014,Theft: All Other Larceny,2014-08-04 00:00:00,20142162091.0,3110845.0,10059841.0,2014.0,78704.0
4729 S CONGRESS AVE,,,,,,,,,,,,,,,,,
Austin TX 78745,,,,,,,,,,,,,,,,,
(30.214683 -97.769154),24.03,2014-06-30 00:00:00,Not cleared,3.0,BURGLARY OF VEHICLE,D,30.214683,(30.214683-97.769154),4729 S CONGRESS AVE,-97.769154,Theft: BOV,2014-06-03 00:00:00,20145024797.0,3106445.0,10051054.0,2014.0,78745.0
4501 S CONGRESS AVE Austin TX 78745,24.03,2015-05-12 00:00:00,Not cleared,3.0,BURGLARY OF VEHICLE,D,,,4501 S CONGRESS AVE,,Theft,2015-05-06 00:00:00,20151261238.0,3106905.0,10051695.0,2015.0,78745.0
4609 RAMIES RUN Austin TX 78749,17.399999999999999,2015-04-01 00:00:00,Not cleared,8.0,BURGLARY OF VEHICLE,D,,,4609 RAMIES RUN,,Theft,2015-03-12 00:00:00,20155010370.0,3077962.0,10045161.0,2015.0,78749.0
11902 SUNHILLOW BND,,,,,,,,,,,,,,,,,
Austin TX 78758,,,,,,,,,,,,,,,,,
(30.39882 -97.70347),18.440000000000001,2014-08-07 00:00:00,Not cleared,7.0,BURGLARY OF RESIDENCE,E,30.39882,(30.39882-97.70347),11902 SUNHILLOW BND,-97.70347,Burglary / ,,,,,,
Breaking & Entering,2014-08-01 00:00:00,20142131067,3125641,10118677.0,2014,78758,,,,,,,,,,,
1500 E RIVERSIDE DR Austin TX 78741,23.04,2015-05-05 00:00:00,Not cleared,9.0,THEFT,H,,,1500 E RIVERSIDE DR,,Theft,2015-04-20 00:00:00,20155016707.0,3117897.0,10063203.0,2015.0,78741.0
12989 N US 183 HWY SVRD NB Austin TX 78729,204.06,2015-03-11 00:00:00,Not cleared,6.0,THEFT,A,,,12989 N US 183 HWY SVRD NB,,Theft,2015-03-10 00:00:00,2015691346.0,3102342.0,10132340.0,2015.0,78729.0
12221 N MOPAC EXPY SVRD NB,,,,,,,,,,,,,,,,,
Austin TX 78758,,,,,,,,,,,,,,,,,
(30.412351 -97.707908),18.5,2014-04-16 00:00:00,Not cleared,7.0,THEFT,A,30.412351,(30.412351-97.707908),12221 N MOPAC EXPY SVRD NB,-97.707908,Theft: All Other Larceny,2014-04-15 00:00:00,20145016772.0,3124636.0,10124176.0,2014.0,78758.0
500 E 6TH ST,,,,,,,,,,,,,,,,,
Austin TX 78701,,,,,,,,,,,,,,,,,
(30.266739 -97.738086),11,2014-02-27 00:00:00,Cleared by Arrest,9.0,AGG ASSAULT,G,30.266739,(30.266739-97.738086),500 E 6TH ST,-97.738086,Aggravated Assault,2014-02-23 00:00:00,2014540272.0,3115841.0,10070419.0,2014.0,78701.0
206 W ELLIOTT ST Austin TX 78753,18.059999999999999,2015-10-20 00:00:00,Not cleared,4.0,BURGLARY OF RESIDENCE,E,,,206 W ELLIOTT ST,,Burglary,2015-10-17 00:00:00,20152901687.0,3127010.0,10102311.0,2015.0,78753.0
1500 CHASEWOOD DR Austin TX 78727,18.48,2015-09-11 00:00:00,Not cleared,7.0,THEFT FROM AUTO,E,,,1500 CHASEWOOD DR,,Theft,2015-09-06 00:00:00,20152490217.0,3132793.0,10126873.0,2015.0,78727.0
1001 E BEN WHITE BLVD SVRD EB,,,,,,,,,,,,,,,,,
Austin TX 78745,,,,,,,,,,,,,,,,,
(30.216942 -97.754349),24.03,2014-03-11 00:00:00,Not cleared,3.0,THEFT,D,30.216942,(30.216942-97.754349),1001 E BEN WHITE BLVD SVRD EB,-97.754349,Theft: All Other Larceny,2014-03-08 00:00:00,2014671258.0,3111103.0,10052022.0,2014.0,78745.0
503 FARLEY DR,,,,,,,,,,,,,,,,,
Austin TX 78753,,,,,,,,,,,,,,,,,
(30.376718 -97.679148),18.23,2014-11-14 00:00:00,Cleared by Arrest,4.0,BURGLARY NON RESIDENCE,E,30.376718,(30.376718-97.679148),503 FARLEY DR,-97.679148,Burglary / ,,,,,,
Breaking & Entering,2014-10-20 00:00:00,20142930470,3133419,10110643.0,2014,78753,,,,,,,,,,,
8630 RESEARCH BLVD SB,,,,,,,,,,,,,,,,,
Austin TX 78757,,,,,,,,,,,,,,,,,
(30.362887 -97.717631),18.18,2014-03-18 00:00:00,Not cleared,7.0,THEFT,I,30.362887,(30.362887-97.717631),8630 RESEARCH BLVD SB,-97.717631,Theft: All Other Larceny,2014-01-31 00:00:00,20145004657.0,3121360.0,10105357.0,2014.0,78757.0
1500 S PLEASANT VALLEY RD Austin TX 78741,23.04,2015-09-03 00:00:00,Not cleared,3.0,THEFT,H,,,1500 S PLEASANT VALLEY RD,,Theft,2015-08-04 00:00:00,20152161811.0,3121642.0,10060232.0,2015.0,78741.0
2902 ZEKE BND Austin TX 78745,17.28,2015-04-28 00:00:00,Not cleared,5.0,BURGLARY OF VEHICLE,F,,,2902 ZEKE BND,,Theft,2015-04-24 00:00:00,20158001373.0,3087228.0,10042188.0,2015.0,78745.0
1901 GRACY FARMS LN Austin TX 78758,18.440000000000001,2015-08-10 00:00:00,Not cleared,7.0,THEFT,E,,,1901 GRACY FARMS LN,,Theft,2015-06-17 00:00:00,20155026248.0,3126128.0,10118053.0,2015.0,78758.0
12309 N MOPAC EXPY NB Austin TX 78758,18.5,2015-03-24 00:00:00,Not cleared,7.0,BURGLARY NON RESIDENCE,A,,,12309 N MOPAC EXPY NB,,Burglary,2015-03-02 00:00:00,2015610304.0,3124806.0,10124836.0,2015.0,78758.0
6809 MONTANA ST Austin TX 78741,23.12,2015-04-02 00:00:00,Not cleared,3.0,BURGLARY OF VEHICLE,H,,,6809 MONTANA ST,,Theft,2015-03-21 00:00:00,20155011792.0,3130226.0,10057333.0,2015.0,78741.0
8800 MC CANN DR,,,,,,,,,,,,,,,,,
Austin TX 78757,,,,,,,,,,,,,,,,,
(30.372213 -97.730029),18.170000000000002,2014-05-06 00:00:00,Not cleared,7.0,THEFT,B,30.372213,(30.372213-97.730029),8800 MC CANN DR,-97.730029,Theft: All Other Larceny,2014-05-02 00:00:00,20145019625.0,3117467.0,10108775.0,2014.0,78757.0
1881 GROVE BLVD Austin TX 78741,23.18,2015-07-10 00:00:00,Not cleared,3.0,THEFT,H,,,1881 GROVE BLVD,,Theft,2015-04-29 00:00:00,20155018218.0,3126220.0,10056688.0,2015.0,78741.0
6929 AIRPORT BLVD,,,,,,,,,,,,,,,,,
Austin TX 78752,,,,,,,,,,,,,,,,,
(30.336574 -97.718265),15.03,2014-12-30 00:00:00,Not cleared,4.0,THEFT BY SHOPLIFTING,I,30.336574,(30.336574-97.718265),6929 AIRPORT BLVD,-97.718265,Theft: Shoplifting,2014-12-14 00:00:00,20143481310.0,3121678.0,10096228.0,2014.0,78752.0
9020 TUSCANY WAY Austin TX 78754,18.34,2016-03-08 00:00:00,Not cleared,1.0,THEFT,E,,,9020 TUSCANY WAY,,Theft,2015-08-27 00:00:00,20158003124.0,3139410.0,10096534.0,2015.0,78754.0
9411 PARKFIELD DR Austin TX 78758,18.190000000000001,2015-07-22 00:00:00,Not cleared,4.0,THEFT,E,,,9411 PARKFIELD DR,,Theft,2015-07-18 00:00:00,20155031357.0,3125176.0,10107316.0,2015.0,78758.0
9709 SWANSONS RANCH RD Austin TX 78748,24.21,2015-03-05 00:00:00,Not cleared,5.0,BURGLARY OF RESIDENCE,F,,,9709 SWANSONS RANCH RD,,Burglary,2015-02-25 00:00:00,2015560683.0,3092122.0,10035024.0,2015.0,78748.0
10205 BROWNIE DR,,,,,,,,,,,,,,,,,
Austin TX 78753,,,,,,,,,,,,,,,,,
(30.367124 -97.684698),18.23,2014-03-17 00:00:00,Not cleared,4.0,THEFT,E,30.367124,(30.367124-97.684698),10205 BROWNIE DR,-97.684698,Theft: All Other Larceny,2014-01-20 00:00:00,2014201642.0,3131888.0,10107188.0,2014.0,78753.0
415 SABINE ST,,,,,,,,,,,,,,,,,
Austin TX 78701,,,,,,,,,,,,,,,,,
(30.265106 -97.73654),11,2014-12-11 00:00:00,Cleared by Arrest,9.0,THEFT,G,30.265106,(30.265106-97.73654),415 SABINE ST,-97.73654,Theft: All Other Larceny,2014-09-25 00:00:00,20142681936.0,3116350.0,10069732.0,2014.0,78701.0
600 W RIVERSIDE DR Austin TX 78704,13.05,2016-01-13 00:00:00,Cleared by Arrest,9.0,THEFT,D,,,600 W RIVERSIDE DR,,Theft,2015-11-24 00:00:00,20153281377.0,3112351.0,10067713.0,2015.0,78704.0
11215 RESEARCH BLVD NB,,,,,,,,,,,,,,,,,
Austin TX 78759,,,,,,,,,,,,,,,,,
(30.40921 -97.744708),17.54,2014-12-15 00:00:00,Not cleared,6.0,BURGLARY OF VEHICLE,A,30.40921,(30.40921-97.744708),11215 RESEARCH BLVD NB,-97.744708,Theft: BOV,2014-12-14 00:00:00,20145054840.0,3112999.0,10122087.0,2014.0,78759.0
1605 HOLSTEIN DR,,,,,,,,,,,,,,,,,
Austin TX 78758,,,,,,,,,,,,,,,,,
(30.390522 -97.699949),18.43,2014-07-17 00:00:00,Not cleared,7.0,THEFT,E,30.390522,(30.390522-97.699949),1605 HOLSTEIN DR,-97.699949,Theft: All Other Larceny,2014-07-14 00:00:00,20145030956.0,3126752.0,10115541.0,2014.0,78758.0
404 COLORADO ST Austin TX 78701,11,2015-10-20 00:00:00,Not cleared,9.0,THEFT,G,,,404 COLORADO ST,,Theft,2015-10-11 00:00:00,20155044940.0,3113643.0,10070357.0,2015.0,78701.0
1106 PLYMOUTH DR,,,,,,,,,,,,,,,,,
Austin TX 78758,,,,,,,,,,,,,,,,,
(30.357053 -97.7092),18.05,2014-04-14 00:00:00,Not cleared,4.0,THEFT FROM AUTO,E,30.357053,(30.357053-97.7092),1106 PLYMOUTH DR,-97.7092,Theft: BOV,2014-04-13 00:00:00,20145016415.0,3124180.0,10103403.0,2014.0,78758.0
5501 S MOPAC EXPY SVRD NB Austin TX 78749,17.5,2015-08-20 00:00:00,Not cleared,8.0,BURGLARY OF VEHICLE,D,,,5501 S MOPAC EXPY SVRD NB,,Theft,2015-05-07 00:00:00,20155019481.0,3087994.0,10056354.0,2015.0,78749.0
1600 GROVE BLVD,,,,,,,,,,,,,,,,,
Austin TX 78741,,,,,,,,,,,,,,,,,
